id,trigger,conditions,script,text,options,notes
"#RULESET_NAME Seeker UC",,,,,,
,,,,,,
# Plague-bearer fleet greeting lines,,,,,,
greetingPlagueFriendly,OpenCommLink,"$faction.id == plague score:1000
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","You cheater!",,
greetingPlagueHostile,OpenCommLink,"$faction.id == plague score:1000
$faction.isHostile","$ignorePlayerCommRequests = true 1","While $fleetName does not answers any hail, their hostile intentions are very clear. The deck crew nervously buckles up and stands ready. Sudenly an environment hazard alarm goes of. The enemy is way beyond weapon range but your fleet is already hitting tiny clumps of nano-machines floating in space that immediately try to pry their way through the hull. Their damage is negligible for now and your ships await further orders.","cutCommLink:Cut the comm link",
greetingPlagueNeutral,OpenCommLink,"$faction.id == plague score:1000
$faction.neutralToPlayer","$ignorePlayerCommRequests = true 1","Your communication officer stares frustratingly at their blank screen. $fleetName does not answer to any of their hails. It does not take any other action either, seemingly waiting for your fleet to do something first. The tension is palpable throughout the ship as some crewmembers heard rumors about those strange ships, none of them good. 

However as your fleet close the distance, batteries of range-finding lasers and mapping radar start to thoroughly scan your fleet. The deck crew is now very nervous and ready to activate every firing solution at the first sign of  active hostility. The next move is yours to make.",,
"#END Plague-bearer fleet greeting lines",,,,,,
,,,,,,
# SEEKER Custom Derelict Log Rules,,,,,,
SKR_titanic_log_opt,PopulateSalvageOptions,"$SKR_titanicWreck","AddOption ""Access Voyage Data Recorder"" SKR_titanic_showLog",,,
SKR_titanic_showLog,SKR_titanic_showLog,,"SKR_showDerelictLog titanic","","SKR_titanic_done:Continue with salvage operations",
SKR_titanic_done,SKR_titanic_done,,"FireAll PopulateSalvageOptions",,,
,,,,,,
SKR_onyx_log_opt,PopulateSalvageOptions,"$SKR_onyxWreck","AddOption ""Decrypt Research Telemetry Log"" SKR_onyx_showLog",,,
SKR_onyx_showLog,SKR_onyx_showLog,,"SKR_showDerelictLog onyx","","SKR_onyx_done:Continue with salvage operations",
SKR_onyx_done,SKR_onyx_done,,"FireAll PopulateSalvageOptions",,,
,,,,,,
SKR_siegfried_log_opt,PopulateSalvageOptions,"$SKR_siegfriedWreck","AddOption ""Query Domain Defense Archive"" SKR_siegfried_showLog",,,
SKR_siegfried_showLog,SKR_siegfried_showLog,,"SKR_showDerelictLog siegfried","","SKR_siegfried_done:Continue with salvage operations",
SKR_siegfried_done,SKR_siegfried_done,,"FireAll PopulateSalvageOptions",,,
,,,,,,
SKR_voulge_log_opt,PopulateSalvageOptions,"$SKR_voulgeWreck","AddOption ""Access Silver Line Flight Recorder"" SKR_voulge_showLog",,,
SKR_voulge_showLog,SKR_voulge_showLog,,"SKR_showDerelictLog voulge","","SKR_voulge_done:Continue with salvage operations",
SKR_voulge_done,SKR_voulge_done,,"FireAll PopulateSalvageOptions",,,
,,,,,,
SKR_dawn_log_opt,PopulateSalvageOptions,"$SKR_dawnWreck","AddOption ""Download Ceramic Prototype Telemetry"" SKR_dawn_showLog",,,
SKR_dawn_showLog,SKR_dawn_showLog,,"SKR_showDerelictLog dawn","","SKR_dawn_done:Continue with salvage operations",
SKR_dawn_done,SKR_dawn_done,,"FireAll PopulateSalvageOptions",,,
,,,,,,
SKR_demeter_log_opt,PopulateSalvageOptions,"$SKR_demeterWreck","AddOption ""Access Chief Architect's Log"" SKR_demeter_showLog",,,
SKR_demeter_showLog,SKR_demeter_showLog,,"SKR_showDerelictLog demeter","","SKR_demeter_done:Continue with salvage operations",
SKR_demeter_done,SKR_demeter_done,,"FireAll PopulateSalvageOptions",,,
,,,,,,
SKR_gawon_log_opt,PopulateSalvageOptions,"$SKR_gawonWreck","AddOption ""Decrypt Shipyard Vault Log"" SKR_gawon_showLog",,,
SKR_gawon_showLog,SKR_gawon_showLog,,"SKR_showDerelictLog gawon","","SKR_gawon_done:Continue with salvage operations",
SKR_gawon_done,SKR_gawon_done,,"FireAll PopulateSalvageOptions",,,
,,,,,,
SKR_quicksilver_log_opt,PopulateSalvageOptions,"$SKR_quicksilverWreck","AddOption ""Extract Apollo Skunkworks Test Data"" SKR_quicksilver_showLog",,,
SKR_quicksilver_showLog,SKR_quicksilver_showLog,,"SKR_showDerelictLog quicksilver","","SKR_quicksilver_done:Continue with salvage operations",
SKR_quicksilver_done,SKR_quicksilver_done,,"FireAll PopulateSalvageOptions",,,
,,,,,,
SKR_safeguard_log_opt,PopulateSalvageOptions,"$SKR_safeguardWreck","AddOption ""Analyze Corrupted Explorarium Sub-Core"" SKR_safeguard_showLog",,,
SKR_safeguard_showLog,SKR_safeguard_showLog,,"SKR_showDerelictLog safeguard","","SKR_safeguard_done:Continue with salvage operations",
SKR_safeguard_done,SKR_safeguard_done,,"FireAll PopulateSalvageOptions",,,
,,,,,,
SKR_rampage_log_opt,PopulateSalvageOptions,"$SKR_rampageWreck","AddOption ""Scan Composite Titan Nanite Lattice"" SKR_rampage_showLog",,,
SKR_rampage_showLog,SKR_rampage_showLog,,"SKR_showDerelictLog rampage","","SKR_rampage_done:Continue with salvage operations",
SKR_rampage_done,SKR_rampage_done,,"FireAll PopulateSalvageOptions",,,
,,,,,,
SKR_whitedwarf_log_opt,PopulateSalvageOptions,"$SKR_whitedwarfWreck","AddOption ""Extract Alpha Core Battle Memory"" SKR_whitedwarf_showLog",,,
SKR_whitedwarf_showLog,SKR_whitedwarf_showLog,,"SKR_showDerelictLog whitedwarf","","SKR_whitedwarf_done:Continue with salvage operations",
SKR_whitedwarf_done,SKR_whitedwarf_done,,"FireAll PopulateSalvageOptions",,,
,,,,,,
SKR_cataclysm_log_opt,PopulateSalvageOptions,"$SKR_cataclysmWreck","AddOption ""Access Sovereign Hive Queen Telemetry"" SKR_cataclysm_showLog",,,
SKR_cataclysm_showLog,SKR_cataclysm_showLog,,"SKR_showDerelictLog cataclysm","","SKR_cataclysm_done:Continue with salvage operations",
SKR_cataclysm_done,SKR_cataclysm_done,,"FireAll PopulateSalvageOptions",,,
"#END SEEKER Custom Derelict Log Rules",,,,,,
